FunctionName;FunctionSignature;Ploc;Bloc;FullPath;LineNo
GlimpseDatabase;void GlimpseDatabase();22;20;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;0
controllerProfileDao;com.android.synclab.glimpse.infra.repository.roomdb.core.ControllerProfileDao controllerProfileDao();1;1;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;0
component3;int component3();2;2;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
component1;String component1();3;3;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
copy;com.android.synclab.glimpse.infra.repository.roomdb.core.ControllerProfileEntity copy(String, String, int);9;9;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
equals;boolean equals(Object);10;10;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
getLightbarColor;int getLightbarColor();2;2;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
hashCode;int hashCode();10;10;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
component2;String component2();2;2;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
toString;String toString();10;10;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
getDeviceName;String getDeviceName();2;2;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
getId;String getId();3;3;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
ControllerProfileEntity;void ControllerProfileEntity(String, String, int);9;9;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;0
invoke;com.android.synclab.glimpse.data.model.ControllerLightCommandResult invoke(int);3;3;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;0
getConnectedPs4Controllers;java.util.List getConnectedPs4Controllers(String);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;0
setPs4ControllerLightColor;com.android.synclab.glimpse.data.model.ControllerLightCommandResult setPs4ControllerLightColor(int);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;0
closeControllerLightSession;void closeControllerLightSession(String);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;0
getPrimaryGamepadBatterySnapshot;com.android.synclab.glimpse.data.model.GamepadBatterySnapshot getPrimaryGamepadBatterySnapshot(String);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;0
invoke;void invoke(com.android.synclab.glimpse.data.model.ControllerProfile);3;3;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;0
getById;com.android.synclab.glimpse.data.model.ControllerProfile getById(String);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;0
upsert;void upsert(com.android.synclab.glimpse.data.model.ControllerProfile);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;0
deleteById;void deleteById(String);1;1;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;0
getDeviceId;int getDeviceId();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getProductId;int getProductId();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component3;int component3();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component7;com.android.synclab.glimpse.data.model.BatteryChargeStatus component7();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
hashCode;int hashCode();9;9;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getDescriptor;String getDescriptor();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component1;int component1();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
toString;String toString();9;9;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getName;String getName();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component4;int component4();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component5;String component5();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component6;Integer component6();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
equals;boolean equals(Object);9;9;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getBatteryStatus;com.android.synclab.glimpse.data.model.BatteryChargeStatus getBatteryStatus();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
ControllerInfo;void ControllerInfo(int, String, int, int, String, Integer, com.android.synclab.glimpse.data.model.BatteryChargeStatus);9;9;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getVendorId;int getVendorId();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
copy;com.android.synclab.glimpse.data.model.ControllerInfo copy(int, String, int, int, String, Integer, com.android.synclab.glimpse.data.model.BatteryChargeStatus);9;9;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
component2;String component2();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
getBatteryPercent;Integer getBatteryPercent();1;1;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
values;com.android.synclab.glimpse.data.model.BatteryChargeStatus[] values();7;7;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;0
BatteryChargeStatus;void BatteryChargeStatus(String, int);7;7;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;0
valueOf;com.android.synclab.glimpse.data.model.BatteryChargeStatus valueOf(String);7;7;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;0
getEntries;kotlin.enums.EnumEntries getEntries();7;7;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;0
invoke;com.android.synclab.glimpse.data.model.ControllerProfile invoke(String);3;3;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;0
clearOnViewModelChange;void clearOnViewModelChange();3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
refreshControllerInfo;void refreshControllerInfo(String, com.android.synclab.glimpse.presentation.model.EventChangeParam$Source);68;63;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
currentUiState;com.android.synclab.glimpse.presentation.model.MainUiState currentUiState();3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
buildControllerUniqueId;String buildControllerUniqueId(com.android.synclab.glimpse.data.model.ControllerInfo);7;7;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
updateState;void updateState(com.android.synclab.glimpse.presentation.model.MainUiState, com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType, com.android.synclab.glimpse.presentation.model.EventChangeParam$Source, boolean);28;28;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
maskIdentifier;String maskIdentifier(String);3;3;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
syncServiceState;void syncServiceState(com.android.synclab.glimpse.presentation.model.EventChangeParam$Source, boolean);16;16;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
setOnViewModelChange;void setOnViewModelChange(kotlin.jvm.functions.Function1);11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;0
component1;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState component1();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
getControllerUniqueId;String getControllerUniqueId();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
getConnectionState;com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState getConnectionState();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
component7;boolean component7();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
copy;com.android.synclab.glimpse.presentation.model.MainUiState copy(com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState, Integer, com.android.synclab.glimpse.data.model.BatteryChargeStatus, String, String, String, boolean, boolean, boolean);11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
toString;String toString();18;18;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
component6;String component6();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
component5;String component5();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
getControllerName;String getControllerName();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
MainUiState;void MainUiState(com.android.synclab.glimpse.presentation.model.MainUiState$ConnectionState, Integer, com.android.synclab.glimpse.data.model.BatteryChargeStatus, String, String, String, boolean, boolean, boolean);11;11;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
getBatteryStatus;com.android.synclab.glimpse.data.model.BatteryChargeStatus getBatteryStatus();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
isOverlayVisible;boolean isOverlayVisible();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
getBatteryPercent;Integer getBatteryPercent();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
component9;boolean component9();1;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;0
