Type;FromPath;FromClass;FromEntity;FromLineNo;Relations;ToPath;ToClass;ToEntity;ToClassType;ToLineNo
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core.GlimpseDatabase;GlimpseDatabase;9;CALLS;/home/huy/.gradle/caches/8.10.2/transforms/b808cdd23f9894fb18e650bc2e47b177/transformed/room-runtime-2.6.1-api.jar;androidx.room.RoomDatabase;RoomDatabase;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core.GlimpseDatabase;GlimpseDatabase;9;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core.GlimpseDatabase$Companion;GlimpseDatabase$Companion;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;com.android.synclab.glimpse.domain.usecase.SetPs4ControllerLightColorUseCase;invoke;10;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.base.contracts.GamepadRepository;setPs4ControllerLightColor;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase.UpsertControllerProfileUseCase;invoke;10;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;upsert;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model.BatteryChargeStatus;BatteryChargeStatus;3;CALLS;/home/huy/android-sdk/platforms/android-36/android.jar;java.lang.Enum;Enum;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model.BatteryChargeStatus;BatteryChargeStatus;8;CALLS;/home/huy/.gradle/caches/modules-2/files-2.1/org.jetbrains.kotlin/kotlin-stdlib/2.0.21/618b539767b4899b4660a83006e052b63f1db551/kotlin-stdlib-2.0.21.jar;kotlin.enums.EnumEntriesKt;enumEntries;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase.GetControllerProfileUseCase;invoke;10;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;getById;INTERFACE;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;157;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;isOverlayVisible;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;setOnViewModelChange;30;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model.EventChangeParam;EventChangeParam;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;151;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getConnectionState;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;152;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model.MainUiState;getBatteryPercent;CLASS;0
CBO;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;updateState;149;CALLS;app/src/main/kotlin/com/android/synclab/glimpse/utils/LogCompat.kt;com.android.synclab.glimpse.utils.LogCompat;d;CLASS;0
