RelationType;FromEntity;FromPath;FromLine;ToEntity;ToPath;FromClass;ToClass;RelationCount;FromModule>ToModule;Key;Violation
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;10;setPs4ControllerLightColor;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.domain.usecase.SetPs4ControllerLightColorUseCase;com.android.synclab.glimpse.base.contracts.GamepadRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;10;upsert;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.domain.usecase.UpsertControllerProfileUseCase;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;10;getById;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.domain.usecase.GetControllerProfileUseCase;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetConnectedPs4ControllersUseCase.kt;10;getConnectedPs4Controllers;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.domain.usecase.GetConnectedPs4ControllersUseCase;com.android.synclab.glimpse.base.contracts.GamepadRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/ClosePs4ControllerLightSessionUseCase.kt;9;closeControllerLightSession;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.domain.usecase.ClosePs4ControllerLightSessionUseCase;com.android.synclab.glimpse.base.contracts.GamepadRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetPrimaryGamepadBatteryUseCase.kt;10;getPrimaryGamepadBatterySnapshot;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.domain.usecase.GetPrimaryGamepadBatteryUseCase;com.android.synclab.glimpse.base.contracts.GamepadRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;invoke;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/DeleteControllerProfileUseCase.kt;9;deleteById;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.domain.usecase.DeleteControllerProfileUseCase;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;1;app/src/main/kotlin/com/android/synclab/glimpse/domain>app/src/main/kotlin/com/android/synclab/glimpse/base;1;N
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;157;isOverlayVisible;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;setOnViewModelChange;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;30;EventChangeParam;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.EventChangeParam;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
CALLS;updateState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;151;getConnectionState;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;com.android.synclab.glimpse.presentation.model.MainUiState;1;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel>app/src/main/kotlin/com/android/synclab/glimpse/presentation/model;2;N
