Type;Signature;Path;LineNo
UNUSED_LOCAL_VARIABLE;$i$f$logDiagnosticInfo;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/GamepadRepositoryImpl.kt;577
UNUSED_CLASS_DATA_MEMBER_DECLARATION;$ENTRIES;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;ACTION_HIDE_OVERLAY;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_METHOD;component1;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/SettingItemUiModel.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;REFRESH_INTERVAL_MS;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;CHARGING_GLOW_COLOR;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/MainActivity.kt;0
UNUSED_CLASS_DATA_MEMBER;updateLoopStarted;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_DATA_MEMBER_DECLARATION;UPDATE_INTERVAL_MS;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/BatteryOverlayService.kt;0
UNUSED_CLASS_METHOD;component4;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;0
UNUSED_FUNCTION_PARAMETER;$marker;/home/huy/Desktop/workspace/gitprojects/batmon/app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;5
