101;DIRECTORY;Folder
103;FILE;File
104;FUNCTION;Definition of function
116;GLOBAL_VARIABLE;Global variable
117;LOCAL_VARIABLE;Local variable
118;FUNCTION_PARAMETER;Function parameter
201;CLASS;Definition of a class with member
202;CLASS_DATA_MEMBER;Declaration of a class member variable
203;CLASS_DATA_MEMBER_DECLARATION;Declartion of a static member variable
205;CLASS_METHOD;Definition of a class member method
210;PACKAGE;Java/Go package
211;INTERFACE;Java/Go interface
213;GO_INTERFACE_METHOD;Definition of a Go interface member method
311;ANONYMOUS_FUNCTION;Anonymous function (lambda)
