relation_id;relation_type_id;from_entity_id;to_entity_id;from file_id;lineno
4903;106;191672;191674;0;0
4904;106;191672;191673;0;0
4905;106;191857;191858;0;0
4906;106;233059;233060;0;0
4;101;271295;271175;271278;104
16;101;271305;188611;271278;120
28;101;271316;9520;271278;145
12;101;271302;16802;271278;113
10;101;271295;189139;271278;105
8;101;271295;190885;271278;104
2;101;271295;190592;271278;34
23;101;271305;188670;271278;128
33;101;271321;271322;271278;164
14;101;271305;190513;271278;119
1;101;271295;271297;271278;34
21;101;271305;188876;271278;127
15;101;271305;189651;271278;120
0;101;271292;271294;271278;28
20;101;271305;190530;271278;126
27;101;271312;25576;271278;138
13;101;271302;189701;271278;114
29;101;271318;3171;271278;153
11;101;271302;16802;271278;112
7;101;271295;190884;271278;104
22;101;271305;84026;271278;127
25;101;271312;16800;271278;137
17;101;271305;190526;271278;122
18;101;271305;188655;271278;123
19;101;271305;190533;271278;124
26;101;271312;271314;271278;138
6;101;271295;190883;271278;104
24;101;271305;188655;271278;129
35;103;271321;271291;271278;166
31;103;271321;271291;271278;160
5;103;271295;189143;271278;104
32;103;271321;271291;271278;163
9;103;271295;189144;271278;105
3;103;271295;189142;271278;104
30;103;271321;271291;271278;159
34;104;271321;271291;271278;164
4918;106;271273;190455;271278;0
4919;106;271273;190448;271278;0
4910;106;271273;271312;271278;136
4911;106;271273;271302;271278;111
4916;106;271273;271321;271278;158
112;106;271273;271296;271278;34
4914;106;271273;271295;271278;33
4917;106;271273;271291;271278;29
4915;106;271273;271316;271278;144
4912;106;271273;271305;271278;118
4913;106;271273;271318;271278;151
37;201;271273;271293;271278;28
4908;202;271318;190478;271278;151
4907;202;271312;190484;271278;136
4909;202;271316;190477;271278;144
447;101;271294;190463;271423;9
448;101;271684;271686;271423;9
449;104;271684;271681;271423;9
4922;106;271293;271683;271423;0
4921;106;271293;271294;271423;0
4923;106;271293;271681;271423;0
2817;106;271293;271685;271423;0
4924;106;271293;271682;271423;0
450;201;271293;189645;271423;0
111;101;271356;190576;271278;101
67;101;271336;188655;271278;38
99;101;271356;25576;271278;90
93;101;271356;16802;271278;88
102;101;271356;25576;271278;91
108;101;271356;253;271278;98
110;101;271356;190576;271278;97
75;101;271338;190359;271278;48
95;101;271356;191246;271278;89
66;101;271336;188655;271278;37
65;101;271297;190566;271278;34
91;101;271347;190357;271278;70
104;101;271356;8297;271278;93
105;101;271356;191359;271278;94
68;101;271336;188655;271278;39
81;101;271343;190355;271278;58
109;101;271356;253;271278;99
98;101;271356;191246;271278;90
101;101;271356;191246;271278;91
96;101;271356;25576;271278;89
69;101;271338;188655;271278;44
106;101;271356;191374;271278;95
107;101;271356;191369;271278;96
92;101;271352;191022;271278;77
