Metric;Path;Package;Class;LineNo;Value;ClassType;Violation
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/GlimpseDatabase.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.GlimpseDatabase;0;8;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/infra/repository/roomdb/core/ControllerProfileEntity.kt;com.android.synclab.glimpse.infra.repository.roomdb.core;com.android.synclab.glimpse.infra.repository.roomdb.core.ControllerProfileEntity;0;10;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/SetPs4ControllerLightColorUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.SetPs4ControllerLightColorUseCase;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/GamepadRepository.kt;com.android.synclab.glimpse.base.contracts;com.android.synclab.glimpse.base.contracts.GamepadRepository;0;6;INTERFACE;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/UpsertControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.UpsertControllerProfileUseCase;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/base/contracts/ControllerProfileRepository.kt;com.android.synclab.glimpse.base.contracts;com.android.synclab.glimpse.base.contracts.ControllerProfileRepository;0;5;INTERFACE;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/ControllerInfo.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.ControllerInfo;0;9;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/data/model/BatteryChargeStatus.kt;com.android.synclab.glimpse.data.model;com.android.synclab.glimpse.data.model.BatteryChargeStatus;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/domain/usecase/GetControllerProfileUseCase.kt;com.android.synclab.glimpse.domain.usecase;com.android.synclab.glimpse.domain.usecase.GetControllerProfileUseCase;0;7;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/viewmodel/MainViewModel.kt;com.android.synclab.glimpse.presentation.viewmodel;com.android.synclab.glimpse.presentation.viewmodel.MainViewModel;0;145;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/MainUiState.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.MainUiState;0;12;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.EventChangeParam$EventType;0;5;CLASS;N
LOC;app/src/main/kotlin/com/android/synclab/glimpse/presentation/model/EventChangeParam.kt;com.android.synclab.glimpse.presentation.model;com.android.synclab.glimpse.presentation.model.EventChangeParam$Source;0;4;CLASS;N
