metric_id;metric_type_id;entity_id;value;path_id
0;309;271278;170;271278
1;306;271278;155;271278
2;301;271278;1;271278
3;304;271278;13;271278
4;303;271278;19;271278
5;315;271278;1;271278
6;321;271278;0.1471;271278
7;325;271278;1155;271278
8;326;271278;1155;271278
9;328;271278;20;271278
10;309;271328;146;271328
11;306;271328;136;271328
12;301;271328;1;271328
13;304;271328;16;271328
14;303;271328;11;271328
15;315;271328;1;271328
16;321;271328;0.0479;271328
17;325;271328;787;271328
18;326;271328;787;271328
19;328;271328;14;271328
20;309;271402;12;271402
21;306;271402;10;271402
22;325;271402;70;271402
23;326;271402;70;271402
24;309;271423;30;271423
25;306;271423;26;271423
26;321;271423;0.0333;271423
27;325;271423;150;271423
28;326;271423;150;271423
29;328;271423;1;271423
30;309;271430;582;271430
31;306;271430;530;271430
32;315;271430;8;271430
33;321;271430;0.079;271430
34;325;271430;3098;271430
35;326;271430;3098;271430
36;328;271430;86;271430
37;309;271432;12;271432
38;306;271432;10;271432
39;325;271432;67;271432
40;326;271432;67;271432
41;309;271444;17;271444
42;306;271444;12;271444
43;325;271444;69;271444
44;326;271444;69;271444
45;309;271450;97;271450
46;306;271450;83;271450
47;321;271450;0.0103;271450
48;325;271450;478;271450
49;326;271450;478;271450
50;328;271450;9;271450
51;309;271454;11;271454
52;306;271454;10;271454
53;315;271454;7;271454
54;325;271454;54;271454
55;326;271454;54;271454
56;328;271454;1;271454
57;309;271510;12;271510
58;306;271510;10;271510
59;325;271510;71;271510
60;326;271510;71;271510
61;309;271520;191;271520
62;306;271520;173;271520
63;321;271520;0.1099;271520
64;325;271520;1068;271520
65;326;271520;1068;271520
66;328;271520;38;271520
67;309;271655;33;271655
68;306;271655;27;271655
69;321;271655;0.1212;271655
70;325;271655;172;271655
71;326;271655;172;271655
72;328;271655;2;271655
73;309;271659;8;271659
74;306;271659;7;271659
75;325;271659;32;271659
76;326;271659;32;271659
77;309;271663;18;271663
78;306;271663;16;271663
79;315;271663;8;271663
80;325;271663;69;271663
81;326;271663;69;271663
82;328;271663;1;271663
83;309;271689;11;271689
84;306;271689;9;271689
85;315;271689;1;271689
86;325;271689;53;271689
87;326;271689;53;271689
88;309;271691;973;271691
89;302;271691;2;271691
90;306;271691;873;271691
91;315;271691;8;271691
92;321;271691;0.0904;271691
93;325;271691;5390;271691
94;326;271691;5388;271691
95;327;271691;2;271691
96;328;271691;87;271691
97;309;272157;380;272157
98;302;272157;9;272157
99;306;272157;333;272157
100;315;272157;3;272157
101;321;272157;0.1026;272157
102;325;272157;2550;272157
103;326;272157;2541;272157
104;327;272157;9;272157
105;328;272157;55;272157
106;309;272160;117;272160
107;306;272160;98;272160
108;315;272160;3;272160
109;321;272160;0.0256;272160
110;325;272160;590;272160
111;326;272160;590;272160
112;328;272160;6;272160
113;309;272162;200;272162
114;306;272162;175;272162
115;315;272162;4;272162
116;321;272162;0.09;272162
117;325;272162;1146;272162
118;326;272162;1146;272162
119;328;272162;12;272162
120;309;272174;39;272174
121;306;272174;30;272174
122;321;272174;0.0256;272174
123;325;272174;195;272174
124;326;272174;195;272174
125;328;272174;3;272174
126;309;272177;283;272177
127;306;272177;246;272177
128;315;272177;3;272177
129;321;272177;0.053;272177
130;325;272177;1531;272177
131;326;272177;1531;272177
132;328;272177;28;272177
133;309;272254;15;272254
134;306;272254;10;272254
135;321;272254;0.1333;272254
136;325;272254;95;272254
137;326;272254;95;272254
138;309;272260;20;272260
139;306;272260;18;272260
140;315;272260;12;272260
141;325;272260;74;272260
142;326;272260;74;272260
143;328;272260;1;272260
144;309;272263;172;272263
145;306;272263;145;272263
146;315;272263;2;272263
147;321;272263;0.0291;272263
148;325;272263;866;272263
149;326;272263;866;272263
150;328;272263;12;272263
151;309;272273;11;272273
152;306;272273;7;272273
153;325;272273;54;272273
154;326;272273;54;272273
155;309;272277;64;272277
156;306;272277;56;272277
157;321;272277;0.1094;272277
158;325;272277;411;272277
159;326;272277;411;272277
160;328;272277;2;272277
161;309;272305;12;272305
162;306;272305;10;272305
163;321;272305;0.0833;272305
164;325;272305;70;272305
165;326;272305;70;272305
166;309;272334;33;272334
167;306;272334;27;272334
168;315;272334;12;272334
169;325;272334;126;272334
170;326;272334;126;272334
171;328;272334;2;272334
172;309;272528;173;272528
